Date,USD
2020.05.15,1230.5
2020.05.18,1234.5
2020.05.19,1226.0
2020.05.20,1229.0
2020.05.21,1230.5
2020.05.22,1240.5
2020.05.25,1242.0
2020.05.26,1234.0
2020.05.27,1234.5
2020.05.28,1240.0
2020.05.29,1238.0
2020.06.01,1228.0
2020.06.02,1222.5
2020.06.03,1217.0
2020.06.04,1219.5
2020.06.05,1209.0
2020.06.08,1201.0
2020.06.09,1201.0
2020.06.10,1191.0
2020.06.11,1195.5
2020.06.12,1203.0
2020.06.15,1215.5
2020.06.16,1212.0
2020.06.17,1213.5
2020.06.18,1209.5
2020.06.19,1209.5
2020.06.22,1214.0
2020.06.23,1209.0
2020.06.24,1202.5
2020.06.25,1203.5
2020.06.26,1204.0
2020.06.29,1200.5
2020.06.30,1203.0
2020.07.01,1203.5
2020.07.02,1199.0
2020.07.03,1199.5
2020.07.06,1194.0
2020.07.07,1197.0
2020.07.08,1195.0
2020.07.09,1195.0
2020.07.10,1201.0
2020.07.13,1203.0
2020.07.14,1206.5
2020.07.15,1201.0
2020.07.16,1205.0
2020.07.17,1205.0
2020.07.20,1203.0
2020.07.21,1196.0
2020.07.22,1197.0
2020.07.23,1198.5
2020.07.24,1204.0
2020.07.27,1197.0
2020.07.28,1199.5
2020.07.29,1194.0
2020.07.30,1196.0
2020.07.31,1191.0
2020.08.03,1195.7
2020.08.04,1194.5
2020.08.05,1188.0
2020.08.06,1185.5
2020.08.07,1188.5
2020.08.10,1187.5
2020.08.11,1184.5
2020.08.12,1184.5
2020.08.13,1184.5
2020.08.14,1187.5
2020.08.18,1184.5
2020.08.19,1178.0
2020.08.20,1188.5
2020.08.21,1189.5
2020.08.24,1188.0
2020.08.25,1187.0
2020.08.26,1187.0
2020.08.27,1185.8
2020.08.28,1183.0
2020.08.31,1187.0
2020.09.01,1184.7
2020.09.02,1187.0
2020.09.03,1190.0
2020.09.04,1189.5
2020.09.07,1188.0
2020.09.08,1189.0
2020.09.09,1187.5
2020.09.10,1186.9
2020.09.11,1187.0
2020.09.14,1183.0
2020.09.15,1180.0
2020.09.16,1173.5
2020.09.17,1173.0
2020.09.18,1163.5
2020.09.21,1163.5
2020.09.22,1160.0
2020.09.23,1163.0
2020.09.24,1172.5
2020.09.25,1175.0
2020.09.28,1170.0
2020.09.29,1169.0
2020.10.05,1160.5
2020.10.06,1161.5
2020.10.07,1158.5
2020.10.08,1152.5
2020.10.12,1150.0
2020.10.13,1146.0
2020.10.14,1146.5
2020.10.15,1147.5
2020.10.16,1146.0
2020.10.19,1140.0
2020.10.20,1139.0
2020.10.21,1133.5
2020.10.22,1135.0
2020.10.23,1128.5
2020.10.26,1130.0
2020.10.27,1126.5
2020.10.28,1133.5
2020.10.29,1134.5
2020.10.30,1134.5
2020.11.02,1135.0
2020.11.03,1133.0
2020.11.04,1140.0
2020.11.05,1126.5
2020.11.06,1121.5
2020.11.09,1115.0
2020.11.10,1117.0
2020.11.11,1113.0
2020.11.12,1113.5
2020.11.13,1113.5
2020.11.16,1108.5
2020.11.17,1106.0
2020.11.18,1103.5
2020.11.19,1117.0
2020.11.20,1117.0
2020.11.23,1112.0
2020.11.24,1110.0
2020.11.25,1107.0
2020.11.26,1107.5
2020.11.27,1105.0
2020.11.30,1107.5
2020.12.01,1108.5
2020.12.02,1103.0
2020.12.03,1094.0
2020.12.04,1086.0
2020.12.07,1086.5
2020.12.08,1085.5
2020.12.09,1085.0
2020.12.10,1088.5
2020.12.11,1092.0
2020.12.14,1092.5
2020.12.15,1094.5
2020.12.16,1091.0
2020.12.17,1094.0
2020.12.18,1099.5
2020.12.21,1109.0
2020.12.22,1106.5
2020.12.23,1107.5
2020.12.24,1103.5
2020.12.28,1096.5
2020.12.29,1093.5
2020.12.30,1087.5
2020.12.31,1088.0
2021.01.04,1082.2
